Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,0.46,0.62,0.61,0.16,0.33,0.33,0.05,0.3,0.43,0.38,0.32,0.26,0.35,0.27,0.13,0.39,0.38,0.38,0.29,0.55,0.48,0.44,0.25,0.5,0.41,0.74,0.77,0.47,0.38,0.3,0.57,0.76,0.85,0.57,0.56,0.33,0.39,1
1996,0.45,0.6,0.57,0.17,0.34,0.34,0.07,0.3,0.43,0.39,0.33,0.29,0.37,0.28,0.19,0.38,0.42,0.38,0.28,0.53,0.46,0.43,0.26,0.48,0.39,0.7,0.75,0.46,0.41,0.27,0.56,0.76,0.85,0.58,0.53,0.35,0.4,1
1997,0.45,0.58,0.58,0.18,0.33,0.35,0.08,0.29,0.41,0.39,0.32,0.3,0.38,0.28,0.2,0.39,0.42,0.38,0.28,0.55,0.46,0.46,0.27,0.48,0.39,0.7,0.74,0.46,0.44,0.27,0.56,0.77,0.86,0.58,0.55,0.38,0.41,1
1998,0.46,0.58,0.59,0.2,0.33,0.34,0.13,0.26,0.4,0.4,0.32,0.3,0.38,0.27,0.2,0.38,0.42,0.38,0.28,0.54,0.45,0.48,0.27,0.47,0.4,0.67,0.74,0.47,0.47,0.28,0.56,0.78,0.86,0.59,0.56,0.38,0.41,1
1999,0.46,0.56,0.58,0.22,0.35,0.34,0.07,0.26,0.4,0.41,0.33,0.29,0.37,0.29,0.2,0.4,0.39,0.38,0.29,0.53,0.47,0.5,0.29,0.48,0.42,0.65,0.76,0.49,0.49,0.3,0.57,0.77,0.86,0.6,0.55,0.4,0.43,1
2000,0.46,0.56,0.56,0.21,0.33,0.34,0.06,0.24,0.39,0.38,0.31,0.27,0.36,0.28,0.21,0.39,0.35,0.37,0.29,0.54,0.45,0.51,0.31,0.45,0.42,0.63,0.76,0.48,0.54,0.31,0.57,0.76,0.86,0.6,0.57,0.42,0.48,1
2001,0.46,0.55,0.54,0.22,0.33,0.34,0.06,0.25,0.39,0.37,0.31,0.29,0.36,0.27,0.22,0.41,0.33,0.36,0.29,0.54,0.44,0.5,0.31,0.42,0.43,0.65,0.72,0.48,0.52,0.28,0.57,0.77,0.87,0.62,0.62,0.42,0.46,1
2002,0.47,0.54,0.52,0.23,0.35,0.34,0.05,0.25,0.41,0.37,0.32,0.24,0.37,0.29,0.21,0.42,0.34,0.36,0.29,0.55,0.44,0.52,0.33,0.45,0.45,0.64,0.74,0.48,0.51,0.31,0.58,0.78,0.87,0.62,0.62,0.46,0.49,1
2003,0.48,0.54,0.51,0.24,0.35,0.32,0.06,0.24,0.41,0.36,0.3,0.23,0.36,0.28,0.2,0.41,0.36,0.39,0.3,0.55,0.43,0.53,0.34,0.45,0.44,0.65,0.75,0.49,0.5,0.3,0.59,0.78,0.87,0.62,0.61,0.5,0.48,1
2004,0.47,0.53,0.52,0.24,0.35,0.31,0.08,0.23,0.41,0.35,0.29,0.24,0.35,0.27,0.21,0.41,0.35,0.4,0.29,0.54,0.42,0.54,0.35,0.45,0.44,0.65,0.76,0.49,0.5,0.3,0.59,0.78,0.87,0.62,0.61,0.49,0.48,1
