Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38
1995,26.4,15.6,14,12.8,7.7,8.1,78.9,9.7,10.2,17.2,11.1,27,14,41.3,37.7,12.3,18.4,77.6,22.5,9.5,36.4,13.8,42.9,32,25.8,19.3,109.7,9,251.8,14.3,19.4,43.7,11.4,13.8,36.7,30.1,30.8
1996,27.1,16.9,25.2,16,8,12.3,64.5,11.4,11.8,19.3,12.6,24.2,13.8,46.3,29.6,15.3,10,61.3,22.6,10.5,36.1,13,43.3,32.8,27.2,21.4,106.7,10,243.3,17,20.9,51.3,9.2,13,40.6,27.8,29.3
1997,29.5,19.5,30.6,13.8,9.1,14.1,109.4,21.8,17.8,18.3,14.2,24.1,14.2,41,21.1,13,28.7,77.7,24,10.4,45.5,13.5,48,34.9,31,19.6,114.1,11.6,220.4,19.4,23.3,55.4,10.1,16.4,52.6,31.3,33.2
1998,31.3,22.7,29.2,15.2,12,12.7,14.8,19.8,17,18.8,17.1,139.5,85.1,51.1,39.2,28.1,9.7,70.9,23.3,13,42.9,12.4,56.5,36.1,30.3,18.7,119.1,12,201.6,18.7,24.3,47.7,10.4,18.6,53.5,35,39.8
1999,31.7,25.1,32.1,15.1,10.6,19.3,200,24.3,20,23.2,17.4,29.6,17.2,44.7,25.4,18.3,34.9,88.4,23.2,13.4,48.2,12.3,55,46.7,29.8,13.5,120.9,12.5,207.5,18,24.9,45.4,13.5,18.4,55,34.8,34.8
2000,32,23.8,36.8,19.1,12.7,19.5,177.5,22.7,37.5,27.9,22,30.1,17.3,45.4,20.7,22.6,35.5,92.9,23.6,14.1,49.7,12.8,50.6,44.7,31.2,12.2,123.6,11.5,189.9,22.2,30,39.2,10.9,21.4,48,35.5,31.2
2001,31.2,24.9,35.8,18.2,12.1,18,171.4,17.7,27.7,25.3,20.4,30.5,18.9,42.2,21.7,18.7,27.2,85.4,20.1,13.1,57.6,12,60.3,50.1,35,12.4,123.2,10.8,182,23.7,28.5,42,12.2,17.7,44.8,36,18.2
2002,29.6,28.7,20.8,19.7,8.6,17.8,103.7,20.8,41.3,26.8,17.6,32.5,16.5,36.6,20.8,17.4,30.6,57,13.7,12.7,58.6,12.9,64.4,44.8,33.9,15.6,112.8,14.3,212.5,24.3,24.3,38,10.2,14.9,42.7,48.9,15.4
2003,27.2,27,16.6,19.4,7.4,18.6,74.8,17.5,38.3,20.4,16.9,33.2,15.6,37.7,20.3,15.7,31.7,60.7,13.8,12.5,64.6,10.6,59.1,33.1,39.4,10.5,91.7,15.5,222.3,21,26.1,34.1,8.9,15.7,33.1,46.7,14.3
2004,26.8,28.3,15.5,18.9,6.9,18.1,53.5,16.5,35.7,23.5,16.8,40.6,15.5,36.4,24.5,12.4,31.4,61.6,16.2,11.3,60.7,10.3,60.3,37.5,39.4,12.5,90.2,16.4,174.2,19,21.9,34.8,8.7,10.7,28,38.6,14.7
2005,26.7,26.9,15.8,18.1,6.8,16.6,24.2,17,41.3,25.3,19.3,36.1,16.5,36.8,27.6,16.8,49.9,74.8,14,11.6,60.5,9.9,56.9,46.7,39.4,8.2,86.4,13.8,166.5,18.2,21.2,31.8,8.3,11,23.1,52.4,14.3
2006,26.1,26,17.5,18.7,3.4,15.4,16.1,22.1,44.4,27.9,18.9,33.5,15.5,34.1,29.6,18,52.5,81.9,13,12.7,54.5,9.7,53.1,39.5,37.8,15.3,79.7,15.2,143.5,17.6,19.6,25.5,12.3,12,27,43.5,12.4
2007,26,28.6,21.8,23.4,5.1,17.3,22.7,30.5,33.4,28.4,19.3,40.4,23.9,27.3,10.7,19,60.4,86.6,16.4,13.7,42.9,14.2,55.4,41.5,38.5,10.9,72.1,15.8,119.1,15.7,20.5,25.9,11.6,12.6,22.3,47.4,12.2
2008,26.2,30.2,23.2,26.7,6.3,32.6,50.2,43.5,32.2,35.2,19.9,24.3,36.8,23.2,24.9,15.5,87.5,66.2,14.2,13.6,47.5,18.3,57.3,29.2,35.7,12.3,62.8,15,115.8,15.6,18.1,29.3,11.3,13,20.8,51.3,9.1
