Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,18176.07,9161.38,34275.96,13823.52,9446.11,18950.96,27285.81,39621.88,39943.85,20043.15,15072.67,40217.01,19302.89,14900.29,12946.96,11515.72,117115.94,13453.25,12184.18,18870.36,22455.65,16786.24,22646.67,119098.74,28805.23,49383.34,272408.29,20035.68,8097.2,21598.21,11738.17,22053.32,19218.57,17200.75,10392.42,17176.91,8204.01,6036.92
1996,18880.6,9159.26,30249.94,15590.86,10226.27,18178.73,41255.79,41379.97,41651.83,20867.66,14666.63,42848.1,20239,16524.47,23570.91,11968.25,128386.88,14770.97,12731.64,19686.17,24304.19,16124.09,21867.37,129083.32,28715.77,47049.84,274599.08,21227.86,9172.19,20381.38,12124.61,23383.72,19622.55,18353.71,10269.3,19070.63,9064.84,6551.13
1997,19963.27,8239.76,32103.77,16629.32,10434.46,19732.4,58558.36,44715.01,44983.36,23002.01,15612.85,45551.78,21386.45,17902.25,25620.27,12669.49,126546.01,15514.72,14009.07,21414.69,26090.32,17265.88,24121.7,137696.14,30182.41,56146.06,268297.24,21160.64,10816.99,21154.73,12244.51,25279.28,20695.22,19052.19,10711.3,19439.74,8882.13,6912.92
1998,20871.56,8605.59,33141.17,18311.62,10345.16,20836.64,96756.29,41166.52,42844.63,24736.9,16364.97,48670.81,22730.51,18977.95,26313.28,13258.44,145280.74,17209.44,13956.47,21562.13,27725.13,18143.44,24927.62,141391.14,33104.18,62516.84,277581,22632.18,12588,23780.44,12950.75,27200.27,21679.6,20314.15,10858.1,16923.08,8870.18,7379.4
1999,21990.33,8902.29,32997.47,20902.23,10726.39,21764.65,61307.9,39271.06,41121.74,25309.62,17012.52,49374.48,23795.4,21519.84,26300.55,14227.75,147108.77,19844.66,14480.61,21914.63,29670.76,19768.21,28527.69,149778.3,36442.1,66779.23,289777.63,24499.75,13378.74,26110.28,14101.3,28367.73,22715.22,21506.39,10920.68,19383.45,9554.09,7719.75
2000,23133.1,8809.1,33664.85,20071,10623.54,25647.79,83195.16,41428.41,44979.57,25289.6,18240,51558.94,24117.17,23303.64,26481.51,14857.2,148111.86,21723.27,14717.23,23539.95,31028.18,21806.81,33474.93,172868.6,34239.04,69480.17,276569.52,25908.84,14651.69,27614.54,14388.38,31025.2,24888.28,23074.24,11828.15,22298.65,11660.54,8368.39
2001,24183.21,8842.2,34895.48,22226.07,10966.11,25203.06,86683.1,42311.71,52361.91,25790.33,18469.83,51120.16,26414.79,23644.54,28196.43,15885.65,168058.6,22082.66,16154.93,23302.81,31315.24,21645.55,34691.38,199759.28,39414.63,85325.89,296793.49,25769.17,16961.6,27048.83,14458.97,31556.47,26539.78,26345.95,13653.45,23334.81,11514.27,8837.01
2002,25230.05,8967.58,31143.81,24584.47,11785.4,25297.29,72880.59,42265.63,55726.95,26744.13,19441.73,47074.24,29151.94,25297.26,28856.75,16561.2,194867.78,24728.01,15849.13,24354.86,32311.95,23421.42,35651.77,220983.21,40067.16,89179.09,331690.06,25379.97,19112.3,27899.45,15175.05,31528.07,28408.36,27518.6,13627.21,25285.22,12636.37,9439.92
2003,26174.16,9018.98,30072.39,25985.42,12275.85,24996.96,83605.85,43359.51,57666.51,26249.63,19316.16,48229.42,29575.55,25086.68,27265.08,16759.84,224668.09,27178.74,16138.78,24125.32,32795.54,24005.9,37842.67,237775.33,41123.33,97467.12,355223.83,26314.11,20483.02,27837.86,15501.17,33647.76,29904.52,29168.78,13562.98,26152.39,12741.39,9903.64
2004,27474.36,9753.43,35695.46,27291.87,12372.61,25206.05,154551.52,48517.71,62245.61,27378.7,21147.74,51242.48,31581.4,25283.53,28836.25,17432.43,251088.72,29969.35,17379.43,24382.2,33562.1,24937.55,41434.52,245448.27,41269.58,107769.9,389805.43,26493.42,21856.42,29587.38,15777.17,34078.87,31243.36,31293.75,14362.82,27139.79,13120.74,10225.6
