Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,26.05,23.6,78.61,30.82,63.81,44.82,54.63,70.46,54.25,40.28,50.85,88.63,90.87,74.04,83.62,44.47,0.36,7.98,2.05,1.54,27.86,6.47,21.21,11.02,12.14,14.54,0.17,8.59,20.93,15.82,16.18,0,0.06,0.09,0.07,6.27,0.17,0.13
1996,26.01,23.63,77.93,31.03,65.01,44.12,47.53,69.81,59.71,41.79,52.27,86.17,90.87,77.41,86.31,43.23,0.63,5.73,2.06,1.21,24.83,6.62,20.26,8.39,9.64,11.86,0.18,6.91,16.62,12.89,12.99,0,0.07,0.09,0.08,5.23,0.18,0.13
1997,26.89,26.54,78.6,32.9,67.1,46.42,44.21,71.65,59.96,43.34,53.38,88.48,96.14,77.99,85.17,43.03,1.23,6.64,1.64,1.12,25.2,6.64,21.88,8.71,9.91,10.79,0.19,7.69,13.63,15.13,14.18,0,0.06,0.09,0.08,6.19,0.18,0.13
1998,27.56,28.39,69.25,34.85,69.28,46.21,44.88,73.7,67.45,44.96,56.78,93.24,98.97,79.44,87.8,45.49,0.35,6.67,1.1,1.11,26.1,7.24,23.43,6.67,11.53,9.28,0.18,8.27,17.92,17.49,15.65,0,0.07,0.09,0.09,8.45,0.19,0.13
1999,27.86,26.5,74.58,36.27,71.22,47.34,42.7,75.78,76.1,45.77,59.53,93.73,95.81,80.99,91.22,43.94,1.01,6.97,1.1,1.28,24.71,7.16,23.71,5.31,14.56,10.52,0.19,6.92,13.88,15.85,15.11,0,0.06,0.09,0.1,6.71,0.21,0.14
2000,29.02,28.32,81.51,37.47,72.46,50.73,44.29,79.97,79.03,47.86,63.85,95.1,95.17,82.46,92.86,46.35,1.22,8.71,0.8,1.14,25.54,7.74,24.86,5.82,13.96,11.57,0.22,6.55,15.46,13.99,14.22,0,0.06,0.1,0.1,7.45,0.22,0.17
2001,28.1,30.31,79.53,37.1,73.34,50.09,41.79,78.05,82.71,47.75,62.6,98.45,91.4,81.57,93.64,49.92,3.16,8.01,0.98,1,25.38,7.52,26.19,5.35,12.23,5.34,0.19,5.92,12.9,12.81,17.29,0,0.05,0.08,0.09,7.58,0.19,0.14
2002,27.82,30.67,79.2,38.6,73.2,52,46.73,79.89,83.09,49.69,66.43,97.11,91.88,79.97,94.88,51.06,5.04,8.84,1.08,0.8,25.68,7.11,24.98,6.18,13.24,6.29,0.15,7.03,16.59,14.91,19.74,0,0.04,0.06,0.07,6.7,0.15,0.1
2003,27.87,30.19,81.39,39.02,72.84,52.36,45.74,81.43,84.31,52.67,75.06,98.86,94,82.99,95.4,50.87,3.72,9.83,1.38,0.85,25.61,6.87,25.41,7.18,13.22,6.26,0.14,6.55,17.19,13.59,18.53,0,0.04,0.06,0.07,6.39,0.14,0.1
2004,28.43,30.85,85.43,39.73,72.23,52.89,42.16,82.85,84.41,55.17,74.26,99.87,95.26,86.58,95.53,54.44,5.09,14.73,1.5,0.95,25.17,6.91,26.63,8.05,12.29,7.06,0.14,7.23,13.78,13.39,19.44,0,0.03,0.05,0.07,7.17,0.13,0.09
2005,28.32,31.46,88.13,40.95,71.64,52.43,44.2,85.94,84.96,55.24,74.18,99.77,94.66,85.78,96.07,55.15,5.44,15.52,1.18,0.92,24.78,7.08,24.74,8.91,12.77,7.16,0.13,7.12,17.05,12.28,20.35,0,0.03,0.04,0.06,9.33,0.11,0.08
2006,30.99,32.73,91.97,44.6,74.89,54.99,45.82,87.49,86.93,59.35,79.59,99.93,97.96,89.07,97.29,61.35,5.18,19.24,1.67,1.31,30.64,7.51,26.89,11.12,16.18,6.62,0.16,10.33,16.59,17.26,21.77,0,0.04,0.06,0.08,11.11,0.15,0.1
2007,31.36,36.44,91.03,46.76,75.91,55.52,46.03,87.2,85.86,61.52,73,100,98.81,90.13,97.43,64.78,4.13,18.96,2.25,1.21,31.38,7.83,28.22,13.22,18.59,7.71,0.16,11.23,25.15,19.23,24.38,0,0.04,0.05,0.07,9.22,0.13,0.08
2008,31.58,39.18,91.45,47.66,77.83,56.15,46.17,87.09,87.97,62.58,72.95,100,97.64,92.22,98.01,65.04,4.53,18.88,2.48,1.32,32.26,7.96,27.64,13.1,19.51,7.79,0.17,12.58,18.11,22.44,24.33,0,0.04,0.05,0.06,8.98,0.12,0.08
2009,28.26,36.69,90.77,47.34,78.31,58.28,56.1,86.6,90.16,63.55,71.33,99.12,91.18,90.36,97.72,63.93,2.01,12.82,2.11,1.33,30.58,7.28,28,11.02,19.14,6.93,0.18,13.72,16.31,26.51,26.9,0,0.03,0.04,0.05,8.82,0.1,0.07
2010,30.71,39.48,93.69,49.67,80.2,60.36,54.69,87.27,90.1,66.25,73.07,99.64,94.57,90.55,97.29,59.15,1.96,18.47,2.03,1.43,31.83,7.83,27.05,11.08,18.72,7.8,0.17,12.75,15.56,31.88,24.44,0,0.02,0.03,0.05,8.58,0.08,0.06
2011,32.74,41.14,95.39,52.25,82.33,60.88,58.45,89.43,92.53,69.94,77.24,100,96.8,94.6,96.59,64.33,2.31,21.94,2.6,1.27,34.32,8.18,27.76,12.55,22.91,7.2,0.15,14.12,16.78,34.29,21.56,0,0.02,0.03,0.04,8.41,0.07,0.05
2012,34.31,40.65,97.4,52.51,82.36,61.59,59.58,89.96,94.79,75.27,82.84,99.88,99.9,99.48,96.5,64.3,2.87,21.34,3.29,1.22,36.98,7.85,31.18,13.39,23.84,8.22,0.18,15.23,14.63,37.91,21.52,0,0.03,0.04,0.05,10.56,0.1,0.08
2013,35.84,40.46,98.55,54.7,83.14,64,67.4,92.06,94.54,78.91,81.64,99.23,99.83,99.59,96.55,70.98,2.7,20.78,4.19,1.05,40.64,8.47,27.64,13.89,26.18,7.64,0.17,15.29,24.56,42.64,26.56,0,0.98,1.07,0.03,12.33,0.1,0.07
2014,36.63,40.68,98.06,55.7,84.09,63.92,66.71,92.68,99.01,79.47,80.18,98.17,99.94,98.76,97.01,69.97,2.55,21.33,3.87,1.46,41.95,8.68,30.33,16.33,29.8,7.87,0.17,15.45,29.19,46.33,31.09,0,0.5,0.52,0.03,6.14,0.08,0.07
2015,36.89,41.74,97.48,56.07,83.8,63.8,70.9,92.78,98.16,79.63,78.89,98.89,99.89,99.08,97.7,69.04,2.38,19.14,3.9,1.49,39.22,8.96,30.36,19.11,32.27,8.29,0.2,17.55,30.91,47.83,29.57,0,0.55,0.5,0.03,5.35,0.08,0.08
2016,36.55,42.89,96.36,56.38,84.56,64.61,69.12,93.75,99.93,79.88,77.51,98.74,99.83,98.73,97.02,71.52,2.35,18.51,5.05,1.77,38.7,7.92,31.47,14.01,34.79,8.18,0.16,16.4,36,50.49,29.83,0.24,0.53,0.53,0.02,5.67,0.24,0.05
2017,37.62,43.19,96.14,55.51,84.67,63.51,70.16,92.89,98.74,78.46,77.71,98.56,99.73,99.05,96.06,72.84,3,21.52,4.82,1.99,41.29,7.64,27.9,12.37,35.15,8.3,0.16,17.01,35.68,51.59,29.14,0.26,0.51,0.59,0.02,6.09,0.29,0.06
2018,37.93,44.14,96,56.23,84.23,61.86,67.47,93.43,96.15,78.22,75.9,98.81,99.19,99.35,96.14,71.59,3.06,23.49,4.5,2.11,42.62,7.16,28.16,13.3,37.07,8.7,0.07,15.4,40.56,49.16,27.28,0.27,0.49,0.56,0.02,5.63,0.35,0.06
2019,37.98,43.71,96.94,56.27,85.48,62.61,70.72,94.3,98.12,76.94,75.62,94.18,99.17,98.12,97.87,73.26,3.21,19.91,4.58,2.34,42.15,7.34,28.16,10.71,39.21,9.7,0.07,15.44,38.06,46.98,29.11,0.29,0.48,0.6,0.02,5.73,0.34,0.06
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
