Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,12.11,3.47,29.65,11.54,47.32,33.71,33.94,29.04,13.76,23.21,19.99,55.58,70.01,28.61,57.34,18.03,0.03,4.9,0.97,0.87,21.72,3.69,4.62,7.41,3.07,7.22,0.05,2.65,3.28,4.23,3.99,0,0.01,0.02,0.03,3,0.04,0.03
1996,11.98,3.32,26.46,11.71,48.04,32.09,25,28.39,17.6,23.12,22.32,50.77,68.97,33.08,62.75,16.76,0.05,3.79,1.07,0.6,19.04,3.55,4.35,5.45,2.27,5.24,0.05,1.99,2.38,3.3,3.03,0,0.01,0.02,0.03,2.32,0.04,0.03
1997,12.28,4.63,25.85,12.69,49.51,33.98,23.36,31.01,17.88,23.83,22.45,53.28,82.64,32.45,59.49,16.29,0.03,4.65,0.97,0.62,19.53,3.64,5.41,5.64,2.56,5.09,0.05,2.19,2.17,3.59,3.03,0,0.01,0.02,0.03,2.84,0.04,0.03
1998,12.33,4.53,18.12,12.86,50.82,32.98,22.52,31.01,21.35,24.47,25.52,62.37,92.96,34.02,62.31,17.12,0.04,4.11,0.68,0.69,20.61,4.02,5.38,3.85,2.76,5.27,0.06,1.98,3.11,2.93,3.58,0,0.01,0.03,0.04,3.72,0.06,0.04
1999,12.24,4.6,17.21,13.1,52.91,33.29,19.74,32.95,26.15,24.73,28.37,64.39,80.21,37.6,67.31,14.86,0.66,4.18,0.62,0.73,18.9,3.9,5.25,3.19,3.84,7.08,0.05,2.16,1.93,4.13,3.79,0,0.01,0.02,0.05,2.83,0.06,0.03
2000,12.8,5.44,17.45,14.42,53.18,36.31,18.73,38.89,31.56,26.32,31.6,68.04,80.57,40.18,71.18,16.45,0.53,5.86,0.55,0.61,19.32,4.18,6.25,3.18,4.22,7.82,0.08,2.25,1.55,3.54,3.97,0,0.02,0.03,0.05,3.51,0.08,0.05
2001,12.37,6.66,15.06,13.89,53.95,35.04,15.58,35.61,32.79,26.22,30.72,78.78,72.03,39.99,72.76,20.13,1.55,5.64,0.67,0.54,19.37,4.2,6.58,2.98,3.28,3.11,0.09,2.43,1.51,4.25,6.15,0,0.02,0.04,0.05,3.79,0.08,0.06
2002,12.6,7.26,15.97,15.28,53.64,36.87,18.76,37.92,33.84,27.98,36.15,74.93,70.54,40.21,76.85,20.52,2.52,5.99,0.7,0.39,20.22,3.97,6.29,3.45,3.57,3.03,0.08,3.36,2.8,5.05,6.96,0,0.02,0.03,0.05,2.99,0.08,0.05
2003,13.03,7.9,16.62,15.6,53.46,37.68,21.32,40.96,32.66,31.68,47.72,80.9,74.98,49.99,79.04,21.9,1.06,6.31,0.9,0.45,20.34,3.8,6.27,4.32,3.98,2.78,0.08,3.03,2.24,4.54,6.83,0,0.02,0.03,0.05,3.03,0.07,0.05
2004,13.04,8.56,24.64,15.94,52,37.63,20.24,43.88,30.74,34.5,45.35,92.11,75.06,54.78,78.23,23.77,0.63,8.3,1.08,0.44,20.1,3.77,7.4,4.68,4.56,3.23,0.08,3.46,1.93,5,8,0,0.02,0.02,0.05,3.12,0.07,0.05
