Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,20739.8,222.2,257.7,1201.4,5170.8,1865.2,552.1,743,114.7,1101.8,872.9,1041.3,893.5,368.7,2505.3,576.9,1.3,57.7,175.1,171.3,1309.7,251.7,89,242,38.3,453,3.6,122.5,16.5,90.9,186.6,0,0.6,0.9,0.4,40.3,0.8,0.1
1996,21916.8,224.5,214.4,1306.5,5428.9,1718.1,430.6,714.4,146.3,1143.4,950.5,988.1,917.3,446.6,3726.9,598,2,49.1,209.8,126,1280.2,255.8,84.1,197.5,31.2,337.3,3.9,100.5,13.4,78,156.5,0,0.6,0.9,0.4,33.9,0.8,0.2
1997,24341.6,289.8,240.3,1413.6,5864.1,1954.9,472.2,884.3,164.6,1306.4,1080.2,1132.8,1183.3,494.1,3880.7,623.8,1.4,65.4,225.1,140,1443.7,282,113.6,224,38.6,376.9,4.5,118.4,13.5,91.9,170.8,0,0.7,1.1,0.5,43.4,0.9,0.2
1998,26254.6,290.2,172.6,1480.4,6038.2,2062.9,359.5,856.9,202.8,1430.3,1330.9,1368.6,1443.1,565.7,4207.7,705.1,1.9,63.9,174.9,169.3,1693.7,341.2,118.9,167.4,46,443.7,5.8,122.6,23.1,83.3,220.8,0.1,0.9,1.5,0.6,58.5,1.2,0.2
1999,27488.5,299.8,166.2,1545.4,6074.8,2130.7,393.9,881.8,242.9,1520.5,1515.2,1533.8,1367.6,689.6,4417,636.9,35.3,73.5,167.6,186.1,1658.2,345.2,123.2,146.9,68.3,657.1,5.9,151,16.7,129.3,254.8,0,0.9,1.3,0.9,48.4,1.4,0.2
2000,31384.6,360,183.2,1761.4,6275.2,2654.4,620.4,1174.5,324.3,1738.5,1894,1789.1,1434,814.1,4956.1,737.7,31.1,112.9,165.4,166.9,1918.8,401.4,168.8,166,81.9,774,8.9,169.5,14.9,119.8,292.1,0.1,1.5,2.4,1,68.3,1.9,0.4
2001,32049.8,450.7,173.4,1799.6,6446.2,2527.6,492,1039.5,371.2,1791.5,1881.6,2118.2,1292.1,816.7,5195.7,892.7,98.5,117.3,216.2,156.5,2042.3,430.9,176.1,189.6,67,351.3,10.7,192.9,16.3,150.8,460.1,0.1,1.7,2.9,1.1,76.2,2.1,0.5
2002,33406.7,488,165.9,1981.6,6237.5,2575.4,531.2,1127.5,368.2,1935.5,2238.1,2030.1,1255.2,858.6,5513.9,911.2,168.6,133.6,229.4,117,2197.6,427.4,163.8,225.2,80.9,352.7,10.5,269.5,30.9,167.9,546.6,0.1,1.5,2.5,1.1,59.6,2,0.4
2003,35003.8,523.2,160.8,2021.5,5903.3,2628.1,648.3,1285.1,341.5,2137.5,3031.2,2332.6,1261.4,1015.4,5431.2,924.8,75.8,158,284.3,132.6,2348.5,410.8,165.8,286.8,95.4,335.6,11.5,251.6,24.9,155,554.8,0.1,1.5,2.5,1.1,58.8,2,0.4
2004,36837.8,592.6,266.3,2146.7,5573.3,2627.2,763.6,1545.2,340.9,2421,3216.2,2603.4,1289.9,1177,5166.5,1041.4,48.4,224.9,360.9,137.2,2517.5,434.8,202.6,325.6,115,414.4,12.6,299.8,23.7,187,688.1,0.1,1.6,2.5,1.2,66.6,2.1,0.4
