Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,28397,1765.1,1536.7,2404.8,2286.4,788.4,642.9,2219.9,551.9,1071.7,2153.2,2071.7,1258.6,1890,3922.9,659.6,15.1,41.4,185.4,159.8,472.8,198.3,375.4,147.2,103.6,531.5,9.8,229.3,24.8,172.9,448.7,0.1,3.1,3.1,0.8,47.6,2,0.5
1996,30524,1873.4,1547.1,2583.5,2478.3,839.4,675.6,2283.8,634.4,1253,2061.4,2188.4,1410.7,2232.7,4682.2,760.7,27,28,186.3,149.9,487.1,231.4,359.6,130.3,91.1,488.8,11.4,204.6,22.2,150.1,395.1,0.1,3.6,3.6,0.9,45.5,2.3,0.6
1997,34732.1,1956.9,1876.3,2750.5,2816.8,946.4,698.5,2567.6,716.3,1478,2450.3,2532.7,1643,2597.7,5503.1,855.2,55.7,31.9,147.8,133.9,544,245.4,407,149.4,98.7,481.1,12.8,250.1,17.4,204.7,495.9,0.1,3.4,4.1,1,55.5,2.4,0.7
1998,39234.4,2205.6,1426.1,3194.5,3181.9,1108.3,634.1,2761.5,806.2,1688,2780.4,3370,1835.7,2967.9,6586,1012,16,44.3,102,126.7,598,292.7,481.3,146.4,132.2,388,11.9,323.1,22,309,588.8,0.1,3.8,3.8,1,81.9,2.4,0.6
1999,42675.7,2017.5,1987.5,3521.7,3200.8,1216.4,773.6,2810,1041.7,1836,2952.4,3700.9,1854.3,3179.4,7698.7,1130.6,20.9,52.1,125.4,170.2,661.4,309.6,525.3,116.6,185,377.7,14.6,255.1,22.2,243.5,589.1,0.2,3.8,4.6,1.1,72.4,2.8,0.7
2000,48851.4,2183.6,3298.9,3645,3606.7,1449.2,1381.5,3207.1,1100.6,2066.3,3647.3,4248.3,2095.4,3575.6,8018.4,1255.9,43.6,63.2,68.9,169.9,797.1,366.2,598.7,161.8,177.4,437.3,16,245.5,31.5,236,560.5,0.2,4.1,5.1,1.2,83.6,3,0.8
2001,49644.6,2375.2,3239.3,3904.3,3800.6,1510.6,1337.1,3286,1301.5,2139.8,3634.5,4519.4,2034,3484.2,7754.3,1351.7,114.2,53.7,91.1,156.1,823.1,365.7,637.3,172.4,170.9,284.1,12.3,202.8,25.9,175.8,592.3,0.1,3.2,3.9,1,83.3,2.3,0.6
2002,48849.2,2299.8,2946.7,3911.4,3761.2,1503.9,1387.9,3412.7,1480.7,2216.3,3624.6,4264.5,1982.4,3097.4,7182.3,1442.6,187.1,70.3,120.3,140.8,810.8,359.2,583.9,199.1,204.7,426.4,9,203.8,27.7,178.9,724.6,0.1,2.5,2.8,0.7,79.6,1.7,0.5
2003,48056.4,2183.4,3154.4,3942,3608.9,1460.4,1254.4,3444.7,1561.8,2128.5,3643.7,4342.5,1916.9,2907.5,6652.6,1430,204,95.1,143.9,140.9,808.1,355.3,607.7,214.4,203.2,476,8.4,209.1,40.2,173.3,666.1,0.1,2.4,2.7,0.7,70.9,1.6,0.4
2004,52786.5,2263.8,3852.9,4166.6,3645.2,1539.4,1306.5,3727,1758.3,2210.3,4375.2,4881.5,2018.9,3293.2,7260.5,1553.1,374.2,195.2,131.3,186.1,823.5,384.7,655.4,265.4,170.8,559.9,8.3,225.9,33.9,164.7,652.8,0.1,2.2,2.6,0.7,94.3,1.6,0.4
2005,55379.3,2215.9,5112,4187.6,3398.1,1556.5,1939.2,3960.5,1782.9,2224.3,4361.7,5184.5,1974.3,3281.7,7339.4,1510.6,437.1,224,90.1,182.2,912,440.7,599,270.4,200.2,659.6,8.5,244.5,49.7,168.3,714.3,0.1,2.1,2.7,0.7,142.1,1.6,0.4
2006,61897,2325.9,6239.1,4730.2,3766.1,1659.4,1975.2,4404.8,2035.6,2345.3,5232.8,5507.8,2109.2,3533.7,7986.2,1802.8,356.3,289,112.7,233.1,1171.1,507.4,672.7,385.1,266.6,685.6,12.4,304.9,44.3,246,765.2,0.1,3.4,3.9,1,178.7,2.4,0.6
2007,66282.2,2838.7,5818.7,5144.7,3988.1,1813.3,2208.1,4665.6,2066.5,2489.5,5623,5604.8,2271.2,4122.3,8569.8,1987.1,412.9,343.9,129.1,241.2,1282.7,565.2,703.9,485.3,296.7,847.8,12.4,306.5,58.9,236.8,980,0.1,3.2,3.5,0.9,157.4,2.1,0.6
2008,71289.9,3127.4,7673.9,5596.4,3931.9,1797.3,2643.1,4728.3,2182.7,2608,5845.3,5440.3,2434.5,4674.5,8575.3,2087.3,643.4,441.5,163,214.3,1381.2,563.7,740.5,495.6,346.1,912.8,12.4,391.6,80.4,287.8,1091.2,0.1,2.5,2.7,0.7,169.9,1.8,0.4
2009,58277,2604.2,4775.5,5334.3,3676.5,1580.1,1897.1,4069.7,2358.9,2275.3,3930.2,3938,2172.7,3740.7,6819.3,2012.4,216.4,253.7,123.5,192.6,1248.2,516.9,702.7,408.9,369,799.3,12.4,465.4,59.4,295.9,1259.9,0.1,1.9,2.4,0.6,161.2,1.3,0.4
2010,65946.7,2972,6461.3,5610.7,4159.6,1743.6,2240.3,5161.4,2359.5,2449.8,4643.1,4074.6,2410.3,3485.1,8705.8,2031.3,177.6,337.3,96.6,244,1234.5,557.4,661,408.6,369.6,957.5,12.4,373.5,71.9,391.1,1394.6,0.1,1.4,1.8,0.4,145.9,0.9,0.3
2011,66280.4,3248.8,7799.3,6078.3,4148.1,1737.1,3003.3,5631.3,2292,2433.8,4591.3,3662.7,2309.8,3176.1,6987.8,1968.1,228.3,494,117.9,209.1,1233.6,559.5,619.8,407.7,440.4,854.1,9.1,330.4,70.4,378.4,1118.7,0.1,1.1,1.5,0.4,137.2,0.7,0.3
2012,62498.9,3167.9,9230.3,5881.3,3816.4,1552.8,2644.3,5662.5,2226.1,2188.3,4012.4,3457,2022.6,2799.3,5209.8,1608.1,397.7,465.9,104.2,232.2,1313.7,476.3,571,400.7,368.3,787.6,9.8,325.9,55.4,356,994.8,0.1,1.3,1.8,0.4,155.7,0.9,0.3
2013,63795.6,3285.9,8721,6130.6,4218.3,1585.4,2707.4,5620,2108.6,2264.5,4068.2,3385,2060.3,3001.9,5628.5,1673.8,259.1,490.3,119.3,174.4,1612,501.1,517.4,392.6,423.7,690.5,7.4,327.6,99.9,419.6,1003.6,0.1,56.9,73.1,0.3,166.2,0.9,0.2
2014,67302.5,3144.1,7676.3,6099,4631,1703.8,3151.2,5769,2196.2,2435.4,4192.8,3574.7,2148.2,3384.9,6787,1799.2,200.3,505.6,102.8,254.9,1979.7,534,566.4,445.3,533.6,730.6,10.9,439.1,142.7,560.1,1489.1,0.1,20.9,27.4,0.4,64.4,0.9,0.3
2015,69483.3,3347.7,6457.9,6326.8,4941.4,1776.2,2274.5,5967.3,2391.3,2601.6,4441.9,3886.1,2247.4,3537,8223.5,1979.6,238.4,445.9,100.3,261.8,2048.7,586,613.2,531.3,534.5,758,18,548.6,146.7,624.3,1504.1,0.1,23.3,31.8,0.7,65.5,1.4,0.5
2016,70332.2,3465.1,5145.5,6558.3,5114,1843.2,1884.6,5969.4,2465.5,2752.8,4350.5,4134.6,2461.9,3740.9,8924.8,2161.7,90.2,397.8,124.9,357.4,1935.2,582.8,669.8,373.5,591,732.2,11.3,497.6,191.2,738.6,1936.8,0.1,22.7,32.3,0.4,72.2,0.9,0.3
2017,78862,3626.7,6665.5,6958,5345.7,1970.6,2368.1,6719.7,2464.2,3049.2,5231.8,4742,2789.5,4333.8,10115.3,2404.4,169.5,520.5,129.2,445.9,2221.2,668.6,590.3,348.7,592.7,715.8,11.2,594,175.2,821.7,1947.1,0.1,22.8,31.1,0.4,70.3,0.9,0.3
