Years,Total,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32,Col_33,Col_34,Col_35,Col_36,Col_37,Col_38,Col_39
1995,171311.82,6847.59,910.94,10031.24,10628.82,5614.63,1783.91,2402.02,759.75,4798.33,4323.81,1803.7,1354.52,1397.92,4658.22,2383.8,4605.85,1223.88,17475.79,21364.42,6250.05,6867.68,1883.58,3474.24,1092.4,6472.78,7797.33,3945.53,181.66,1552.09,3604.05,8124.04,5906.49,4670.9,1664.42,1376.84,1584.16,494.45
1996,182948.79,7198.9,859.1,10748.17,10987.72,5447.41,1874.33,2423.87,773.09,4998.57,4244.01,1884.99,1413.14,1503.84,6185.65,2670.46,4556.99,1333.03,19177.06,22794.43,6961.87,7250.29,1896.48,3854.7,1200.89,6668.68,8399.92,4280.34,200.27,1669.26,3961.07,8682.87,6206.55,5056.19,1779.89,1493.52,1742.85,568.44
1997,198180.46,6751.11,982.19,10753.41,11545.8,5851.89,2191.4,2735.58,865.23,5542.54,4787.66,2027.58,1525.3,1673.44,6792.41,2893.34,4598.6,1454.69,22632.8,24441.53,7716.31,7826.84,2057.59,4224.01,1313.95,7676.1,9002.49,4617.59,216.41,1816.96,4330.73,9332.83,6765.69,5417.26,1810.87,1566.91,1808.25,633.17
1998,212920.6,6832.91,1012.77,11135.14,11644.88,6371.3,1777.1,2625.53,817.97,5908.11,5189.61,2143.31,1626.78,1825.21,7058.69,3117.37,5075.21,1605.57,25066.21,26548.17,8597.72,8619.25,2171.22,4632.9,1445.87,8776.85,9770.86,5151.82,240.07,1997.86,4739.44,10267.69,7253.37,5884.29,1862.87,1613.9,1867.14,645.66
1999,224592.74,6978.79,1030.33,11418.83,11320.01,6511.54,2188.51,2539.32,791.29,6203.89,5345.84,2349.28,1778.15,1992.52,6900.52,3244.17,5559.8,1780.2,26492.05,27680.74,9171.94,8994.16,2305.2,4912.14,1602.43,9690.85,10570.66,5711.46,267.1,2189.07,5167.01,11068.8,7838.88,6634.26,1956.4,1757.51,1971.28,677.84
2000,245157.91,7093.7,1119.5,11846.41,11635.3,7423.9,3511.26,2838.52,874.61,6675.75,5986.87,2588.89,1923.98,2196.05,7272.92,3441.76,6109.07,1998.68,29167.3,29582.44,10365.92,9743.8,2614.01,5550.28,1733.79,10299.96,11343.25,6193.42,278.87,2383.45,5622.23,12653.48,8682.95,7325.27,2140,1992.93,2220.77,726.64
2001,259028.36,7308.38,1193.54,12574.69,11827.12,7342.03,3359,2801.09,908.78,6913,6136.96,2562.39,1969.87,2240.37,7347.55,3592.89,6670.96,2117.85,31395.12,31207.02,11019.4,10421.3,2598.82,6682.15,1821.75,11777.69,12174.47,6576.34,310.7,2452.09,5740.52,13080.87,9312.04,8112.57,2367.26,2061.9,2282.85,767.06
2002,265101.43,7169.71,1118.04,12524.19,11523.3,7126.55,3052.48,2837.32,939.01,6996.52,6228.7,2639.69,1888.31,2308.63,7358.68,3630.61,6954.01,2279.96,32308.09,31960.28,11461.15,10901.04,2531.49,6772.17,2008.64,12142.42,13101.36,6638.33,339.47,2229.3,6010.41,13511.7,10055.5,8744.54,2490.83,2034.29,2446.54,838.16
2003,268623.87,7177.79,1049.22,12527.63,11007.41,7125.46,3272.6,2964.42,879.94,6840.95,6353.3,2714.15,1768.45,2293.27,7074.18,3665.61,7362.27,2537.93,30887.4,32172.43,12084.71,10976.82,2559.71,6886.37,2119.08,12676.58,13866.11,6936.81,353.26,2321.78,6211.26,14245.14,10359.99,9374.61,2481,1991.71,2627.15,877.38
2004,282392.65,7434.19,1163.81,12975.57,10654.22,7136.75,4023.12,3311.34,919.67,7111.61,7102.66,2737.37,1741.26,2372.5,6812.7,3718.55,7972.09,2757.61,32689.69,33850.7,13034.01,11672.4,2712.99,7223.52,2221.17,13473.53,14479.15,7169.91,397.35,2546.8,6559.98,14800.58,10844.44,10212.54,2688.38,2188.29,2798.65,883.57
2005,293681.92,7153.66,1289.69,13071.3,9751.27,7239.76,5623.34,3456.4,938.15,7317.35,7266.7,2991.16,1703.87,2424.7,6503.83,3698.08,9286.5,2982.79,33944.98,34179.95,14112.44,12092.62,2753.47,7309.86,2380.81,14082.71,15516.83,7626.89,429.78,2636.9,6878.47,15999.13,11461.44,10767.01,2738.19,2255.14,2889.32,927.43
2006,305830.4,7291.01,1468.89,13469.95,9771.39,7549.37,6814.8,3715.75,978.44,7525.94,7927.13,3317.97,1850.81,2584.14,6970.5,3799.28,9738.07,3274.65,33376.22,34993.08,15232.63,12704.33,2876,7301.23,2532.33,16377.18,16213.21,7488.35,490.56,2739.34,7340.31,16423.39,11582.18,10921.63,2878.48,2311.64,3037.63,962.61
2007,324450.51,7511.24,1558.63,14393.63,9879.67,7943.55,6622.34,4122.33,1130.33,8042.28,8913.22,3206.26,2035.46,2996.07,7064.06,4062.48,11664.26,3612.73,33509.86,36882.34,17035.45,13482.23,2971.82,7453,2675.59,18094.67,17279.45,8292.99,563.94,3002.79,8076.77,17342.29,11462.22,11549.55,3132.71,2498.59,3308.3,1077.39
2008,337724.4,7799.19,1387.14,15578.66,9155.17,7650.86,8153.56,4053.09,1092.45,8115.6,9314.8,2837.4,2270.82,3119.83,6692.63,4346.54,13707.84,3860.56,33673.52,38012.36,17967.47,13500.75,3191.79,7740.35,2945.81,19123.18,18122.9,8940.42,650.96,3055.85,8669.87,17860.28,12130.91,12112.65,3406.67,2678.37,3648.52,1155.65
2009,318276.02,7328.78,1238.76,14741.21,8101.25,6469.07,4841.13,3120.87,1125.16,7087.69,7312.25,1819.39,2376.58,2444.58,5252.47,4227.22,12374.07,3670.64,30991.45,36970.95,16781.75,13660.61,2992.6,7603.05,3123.76,17553.21,18554.16,9101.87,681.95,2778.32,8593.79,18986.68,12653.39,12745.95,3416.21,2683.99,3661.61,1209.62
2010,328296.2,7582.7,1360.19,14811.45,8682.22,7337.88,6861.79,4210.9,1114.65,7378.08,7889.1,1914.75,2552.46,2404.5,6634.7,4350.85,12625.26,4065.45,30333.25,37217.61,18151.62,13979.71,2965.19,7433.12,3203.27,17156.52,19529.97,8975.43,685.03,2830.21,8855.74,17956.96,12870.27,13224.04,3485.57,2727.38,3706.38,1232.03
2011,326710.76,7743.22,1334.89,15364.13,9013.5,7585.54,8206.3,4657.67,1149.54,7498.64,8293.63,1939.55,2538.54,2301.47,7734.62,4174.23,13514.24,4291.6,27103.6,36347.07,18436.97,13793.37,2736.75,6671.49,3281.31,17535.56,19408.86,8804.88,661.29,2664.2,8529.8,17250.05,12043.94,13045.95,3663.83,2602.66,3587.36,1200.56
2012,309317.61,7892.78,1276.97,15549.02,8922.39,7457.43,9051.29,4677.58,1120.32,6957.43,7861.74,1749.54,2329.21,2177.07,7158.65,3921.13,14410.29,4150.36,20763.05,35064.91,17464.21,13264.35,2409.79,6444.83,3299.85,16172.84,19243.19,8258.55,662.5,2304.75,7912.54,15994.57,10600.96,12019.53,3669.37,2376.19,3577.93,1150.56
2013,307542.76,8082.26,1162.38,15906.57,9497.89,7419.04,9397.53,4603.95,1121.03,6811.96,7736.45,1582.93,2440.95,2285.91,6948.91,3901.91,14293.65,4002.05,18284.04,34955.19,17672.27,13188.89,2273.52,6036.7,3374.22,15304.65,19921.13,8069.3,704.72,2265.14,7868.92,16732.38,10977.25,12069.35,3751.29,2249.38,3543.05,1106.04
2014,309830.68,8151.05,1113.08,15959.78,10055.9,7626.77,8386.71,4413.25,1041.64,7066.36,8018.29,1527.79,2445.72,2593.84,7341.09,4056.89,13989.06,3875.74,16877.97,36113.57,17875.14,13949.31,2326.93,5497.71,3561.97,14713.92,20770.9,8637.49,805.09,2407.06,8205.93,16389.17,10807.94,12347.76,3749.32,2451.24,3566.62,1112.69
2015,317832.82,8407.55,1116.42,16150.93,10505.81,8098.4,7072.78,4356.48,1175.93,7471.48,8084.42,1695.24,2521.15,2475.95,8261.54,4359.12,14699.92,3997.69,17014.47,37388.99,19507.49,14789.65,2374.01,5440.28,3681.57,14760.01,21500.48,8759.44,811.09,2541.56,8656.34,15399.45,10708.5,12791.78,3876.76,2654.4,3640.59,1085.17
2016,324823.38,8464.06,1121.12,16471.81,10872.09,8032.36,5762.05,4125.88,1148.86,7512.5,8259.59,1959.07,2460.48,2618.26,8563.42,4430.86,14981.63,3986.92,16806.47,38451.24,19753.88,15837.3,2428.49,5644.46,3975.5,14664.08,22892.77,8995.44,850.45,2717.12,9379.76,15544.16,10910.43,13380.75,4186.11,2859.77,3677.5,1096.78
2017,347793.26,8951.77,1245.55,17302.91,11170.69,8481.95,7138.11,4703.46,1265.39,8191.69,9419.2,2389.81,2711.68,2716.47,10023.84,4893.15,15666.25,4307.54,18769.67,39730.65,21338.94,17895.96,2510.94,5664.71,4520.89,14547.6,24378.77,9701.36,850.71,2958.48,10498.94,15863.52,11285.72,14033.78,4542.92,3170.52,3835.73,1113.99
2018,366734.44,9239.27,1356.56,17653.6,11271.35,9339.71,7792.16,4824.02,1373.51,8693.67,10179.06,2566.91,2684.38,2841.3,11873.36,5297.35,16154.34,4349.98,20685.27,40690.67,22451.48,19261.08,2542.92,5430.24,5193.36,15088.13,25563.05,10601.63,905.03,3200.67,11380.52,16305.78,11705.8,14872.78,4670.93,3440.54,4095.43,1158.64
2019,381406.57,9670.72,1326.01,18026.28,10883.32,9298.51,7328.85,4961.79,1440.43,8974.46,10024.42,2589.07,2625.92,2760.21,12813.39,5489.81,15668.7,4483.9,22792.26,42217.98,23809.13,20548.32,2631.83,5575.62,6284.33,15471.49,27082.93,11392.24,994.41,3461.36,11971.75,16784.8,12126.65,15850.82,4783.89,3838.07,4192.83,1230.12
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
