,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,0.62,0.6,0.58,0.58,0.56,0.56,0.55,0.54,0.54,0.53,0.51,0.51,0.47,0.45,0.47,0.46,0.42,0.41,0.44,0.44,0.45,0.46,0.46,0.45,0.46
Col_4,0.61,0.57,0.58,0.59,0.58,0.56,0.54,0.52,0.51,0.52,0.51,0.55,0.52,0.44,0.52,0.52,0.49,0.5,0.49,0.48,0.45,0.48,0.49,0.44,0.44
Col_5,0.16,0.17,0.18,0.2,0.22,0.21,0.22,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.23,0.24,0.25,0.24,0.24,0.24
Col_6,0.33,0.34,0.33,0.33,0.35,0.33,0.33,0.35,0.35,0.35,0.35,0.35,0.36,0.38,0.41,0.39,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.38,0.38
Col_7,0.33,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.32,0.31,0.33,0.34,0.33,0.31,0.32,0.33,0.3,0.28,0.28,0.27,0.28,0.28,0.27,0.28,0.28
Col_8,0.05,0.07,0.08,0.13,0.07,0.06,0.06,0.05,0.06,0.08,0.1,0.09,0.08,0.08,0.03,0.06,0.04,0.03,0.02,0.02,0.08,0.07,0.12,0.07,0.06
Col_9,0.3,0.3,0.29,0.26,0.26,0.24,0.25,0.25,0.24,0.23,0.22,0.2,0.21,0.18,0.22,0.19,0.17,0.14,0.15,0.16,0.2,0.23,0.2,0.17,0.17
Col_10,0.43,0.43,0.41,0.4,0.4,0.39,0.39,0.41,0.41,0.41,0.41,0.37,0.39,0.4,0.42,0.38,0.37,0.4,0.43,0.44,0.43,0.45,0.47,0.44,0.43
Col_11,0.38,0.39,0.39,0.4,0.41,0.38,0.37,0.37,0.36,0.35,0.34,0.33,0.33,0.32,0.35,0.34,0.32,0.32,0.33,0.32,0.33,0.34,0.33,0.33,0.34
Col_12,0.32,0.33,0.32,0.32,0.33,0.31,0.31,0.32,0.3,0.29,0.29,0.29,0.28,0.28,0.3,0.3,0.27,0.27,0.28,0.29,0.28,0.31,0.3,0.3,0.31
Col_13,0.26,0.29,0.3,0.3,0.29,0.27,0.29,0.24,0.23,0.24,0.24,0.22,0.25,0.25,0.25,0.3,0.23,0.23,0.26,0.26,0.25,0.24,0.21,0.21,0.19
Col_14,0.35,0.37,0.38,0.38,0.37,0.36,0.36,0.37,0.36,0.35,0.36,0.33,0.31,0.29,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.26
Col_15,0.27,0.28,0.28,0.27,0.29,0.28,0.27,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.3,0.3,0.28,0.32,0.32,0.32,0.34,0.33,0.33,0.33,0.34
Col_16,0.13,0.19,0.2,0.2,0.2,0.21,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.19,0.21,0.2,0.18,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.16
Col_17,0.39,0.38,0.39,0.38,0.4,0.39,0.41,0.42,0.41,0.41,0.39,0.38,0.37,0.37,0.4,0.39,0.4,0.41,0.41,0.4,0.4,0.4,0.39,0.4,0.41
Col_18,0.38,0.42,0.42,0.42,0.39,0.35,0.33,0.34,0.36,0.35,0.28,0.29,0.27,0.19,0.27,0.26,0.24,0.24,0.24,0.27,0.31,0.31,0.26,0.29,0.28
Col_19,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.39,0.4,0.4,0.4,0.38,0.37,0.41,0.42,0.42,0.43,0.44,0.45,0.43,0.43,0.39,0.39,0.4
Col_20,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.29,0.28,0.29,0.31,0.31,0.32,0.3,0.31,0.35,0.37,0.37,0.38,0.39,0.37,0.36,0.35
Col_21,0.55,0.53,0.55,0.54,0.53,0.54,0.54,0.55,0.55,0.54,0.54,0.55,0.54,0.54,0.57,0.56,0.59,0.62,0.64,0.62,0.61,0.61,0.59,0.58,0.58
Col_22,0.48,0.46,0.46,0.45,0.47,0.45,0.44,0.44,0.43,0.42,0.39,0.4,0.4,0.38,0.42,0.41,0.39,0.4,0.41,0.4,0.39,0.4,0.4,0.39,0.39
Col_23,0.44,0.43,0.46,0.48,0.5,0.51,0.5,0.52,0.53,0.54,0.54,0.55,0.54,0.54,0.55,0.55,0.55,0.57,0.57,0.55,0.55,0.56,0.56,0.56,0.55
Col_24,0.25,0.26,0.27,0.27,0.29,0.31,0.31,0.33,0.34,0.35,0.35,0.37,0.37,0.34,0.38,0.37,0.37,0.36,0.39,0.38,0.37,0.38,0.4,0.41,0.42
