,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,15.6,16.9,19.5,22.7,25.1,23.8,24.9,28.7,27.0,28.3,26.9,26.0,28.6,30.2,25.8,27.2,29.2,27.3,25.6,27.2,29.5,27.2,28.1,27.6,26.3
Col_4,14.0,25.2,30.6,29.2,32.1,36.8,35.8,20.8,16.6,15.5,15.8,17.5,21.8,23.2,19.1,24.3,24.8,21.3,26.2,31.7,26.4,22.6,32.9,50.2,59.6
Col_5,12.8,16.0,13.8,15.2,15.1,19.1,18.2,19.7,19.4,18.9,18.1,18.7,23.4,26.7,20.5,19.7,21.2,20.8,19.0,19.7,19.1,16.4,21.3,21.8,22.4
Col_6,7.7,8.0,9.1,12.0,10.6,12.7,12.1,8.6,7.4,6.9,6.8,3.4,5.1,6.3,4.9,6.3,6.7,7.6,9.3,10.7,9.7,12.0,12.8,12.0,11.1
Col_7,8.1,12.3,14.1,12.7,19.3,19.5,18.0,17.8,18.6,18.1,16.6,15.4,17.3,32.6,38.1,15.8,12.9,13.6,15.1,19.2,20.8,24.1,34.3,29.5,23.3
Col_8,78.9,64.5,109.4,14.8,200.0,177.5,171.4,103.7,74.8,53.5,24.2,16.1,22.7,50.2,222.6,182.8,208.8,74.2,30.0,55.0,11.5,21.8,8.7,27.2,40.6
Col_9,9.7,11.4,21.8,19.8,24.3,22.7,17.7,20.8,17.5,16.5,17.0,22.1,30.5,43.5,45.5,28.6,46.0,48.4,38.3,27.5,18.2,18.7,24.0,39.3,32.8
Col_10,10.2,11.8,17.8,17.0,20.0,37.5,27.7,41.3,38.3,35.7,41.3,44.4,33.4,32.2,31.7,33.2,35.8,34.1,29.3,33.0,38.1,44.9,40.9,49.8,51.2
Col_11,17.2,19.3,18.3,18.8,23.2,27.9,25.3,26.8,20.4,23.5,25.3,27.9,28.4,35.2,20.1,19.3,19.9,21.6,22.8,26.1,23.7,25.8,25.1,26.9,25.4
Col_12,11.1,12.6,14.2,17.1,17.4,22.0,20.4,17.6,16.9,16.8,19.3,18.9,19.3,19.9,15.6,15.5,15.6,15.3,17.6,19.5,22.0,24.7,25.5,24.3,22.1
Col_13,27.0,24.2,24.1,139.5,29.6,30.1,30.5,32.5,33.2,40.6,36.1,33.5,40.4,24.3,27.8,23.3,33.5,36.7,28.2,37.8,33.8,49.6,46.6,51.9,57.0
Col_14,14.0,13.8,14.2,85.1,17.2,17.3,18.9,16.5,15.6,15.5,16.5,15.5,23.9,36.8,31.5,24.4,29.6,26.0,22.8,24.2,23.0,36.0,30.1,43.0,34.5
Col_15,41.3,46.3,41.0,51.1,44.7,45.4,42.2,36.6,37.7,36.4,36.8,34.1,27.3,23.2,21.4,18.8,19.8,20.8,19.2,18.5,19.1,23.4,26.6,30.6,31.6
Col_16,37.7,29.6,21.1,39.2,25.4,20.7,21.7,20.8,20.3,24.5,27.6,29.6,10.7,24.9,23.8,36.8,29.8,30.7,25.1,25.6,30.5,43.9,52.2,40.5,40.3
