,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,9161.38,9159.26,8239.76,8605.59,8902.29,8809.1,8842.2,8967.58,9018.98,9753.43,9223.44,9731.23,9335.47,9574.36,9467.72,10495.29,10051.3,10177.76,11755.53,12484.45,13376.65,14040.74,15543.09,15859.59,17779.13
Col_4,34275.96,30249.94,32103.77,33141.17,32997.47,33664.85,34895.48,31143.81,30072.39,35695.46,39117.72,48522.68,49904.61,37349.9,43767.8,49313.51,46355.03,49950.5,47731.55,45397.21,43597.13,46712.56,52067.92,51192.84,50472.67
Col_5,13823.52,15590.86,16629.32,18311.62,20902.23,20071.0,22226.07,24584.47,25985.42,27291.87,28182.04,28418.46,28248.36,29692.73,32456.94,32384.68,31753.51,32253.68,34613.65,36372.69,36686.1,37805.19,37396.61,37621.93,37379.5
Col_6,9446.11,10226.27,10434.46,10345.16,10726.39,10623.54,10966.11,11785.4,12275.85,12372.61,12280.19,12947.86,14152.94,14532.68,15488.44,16546.74,16735.62,17218.47,18117.84,18432.31,18696.02,19371.47,19402.74,19860.51,19743.03
Col_7,18950.96,18178.73,19732.4,20836.64,21764.65,25647.79,25203.06,25297.29,24996.96,25206.05,27213.13,29893.35,32349.9,30787.77,29984.76,36315.88,35492.69,35168.31,37025.13,36012.65,38815.71,39246.12,39919.0,43766.62,43501.11
Col_8,27285.81,41255.79,58558.36,96756.29,61307.9,83195.16,86683.1,72880.59,83605.85,154551.52,247910.08,287353.27,260381.27,316736.89,78301.34,230135.68,170495.32,140332.24,116320.48,108098.33,342835.37,265568.78,535202.08,328948.99,273659.89
Col_9,39621.88,41379.97,44715.01,41166.52,39271.06,41428.41,42311.71,42265.63,43359.51,48517.71,49855.68,51082.94,57850.54,51192.39,50453.01,61138.2,63077.42,56021.19,60331.43,61770.17,74275.32,77277.06,73197.63,61416.92,64655.42
Col_10,39943.85,41651.83,44983.36,42844.63,41121.74,44979.57,52361.91,55726.95,57666.51,62245.61,64315.81,60901.48,73438.29,75335.16,82076.11,72693.39,72131.29,75942.68,81659.85,76219.54,82007.14,79977.29,80114.48,76891.05,74202.84
Col_11,20043.15,20867.66,23002.01,24736.9,25309.62,25289.6,25790.33,26744.13,26249.63,27378.7,28245.68,28605.23,30884.31,31739.4,33952.6,35622.89,35331.39,35453.36,37269.34,37374.63,38762.7,39704.75,40580.55,40953.61,43244.63
Col_12,15072.67,14666.63,15612.85,16364.97,17012.52,18240.0,18469.83,19441.73,19316.16,21147.74,21854.43,23323.07,24913.44,26391.81,23842.9,25615.86,24924.29,25334.73,26541.53,27772.65,26826.22,29156.64,30316.76,31010.93,31578.15
Col_13,40217.01,42848.1,45551.78,48670.81,49374.48,51558.94,51120.16,47074.24,48229.42,51242.48,55677.8,57387.92,64040.14,59868.45,45845.75,59797.61,45881.74,39914.84,42761.02,41190.52,41361.89,43668.39,43806.21,42954.35,43178.42
Col_14,19302.89,20239.0,21386.45,22730.51,23795.4,24117.17,26414.79,29151.94,29575.55,31581.4,32952.82,35762.87,36415.91,38079.52,37579.65,40158.27,37317.73,35636.93,33933.23,33602.62,33632.92,33245.82,34677.93,33589.29,34072.18
Col_15,14900.29,16524.47,17902.25,18977.95,21519.84,23303.64,23644.54,25297.26,25086.68,25283.53,26313.83,27273.29,29893.29,31221.44,32395.28,33394.09,31288.56,35314.6,36513.14,39743.25,38215.22,37744.07,37653.76,37245.25,37279.08
Col_16,12946.96,23570.91,25620.27,26313.28,26300.55,26481.51,28196.43,28856.75,27265.08,28836.25,28435.17,29542.35,32452.91,29980.29,29879.4,34775.21,36307.27,34594.07,36420.28,37297.26,37043.6,36259.98,36427.94,37700.8,39128.12
