,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,23.6,23.63,26.54,28.39,26.5,28.32,30.31,30.67,30.19,30.85,31.46,32.73,36.44,39.18,36.69,39.48,41.14,40.65,40.46,40.68,41.74,42.89,43.19,44.14,43.71
Col_4,78.61,77.93,78.6,69.25,74.58,81.51,79.53,79.2,81.39,85.43,88.13,91.97,91.03,91.45,90.77,93.69,95.39,97.4,98.55,98.06,97.48,96.36,96.14,96.0,96.94
Col_5,30.82,31.03,32.9,34.85,36.27,37.47,37.1,38.6,39.02,39.73,40.95,44.6,46.76,47.66,47.34,49.67,52.25,52.51,54.7,55.7,56.07,56.38,55.51,56.23,56.27
Col_6,63.81,65.01,67.1,69.28,71.22,72.46,73.34,73.2,72.84,72.23,71.64,74.89,75.91,77.83,78.31,80.2,82.33,82.36,83.14,84.09,83.8,84.56,84.67,84.23,85.48
Col_7,44.82,44.12,46.42,46.21,47.34,50.73,50.09,52.0,52.36,52.89,52.43,54.99,55.52,56.15,58.28,60.36,60.88,61.59,64.0,63.92,63.8,64.61,63.51,61.86,62.61
Col_8,54.63,47.53,44.21,44.88,42.7,44.29,41.79,46.73,45.74,42.16,44.2,45.82,46.03,46.17,56.1,54.69,58.45,59.58,67.4,66.71,70.9,69.12,70.16,67.47,70.72
Col_9,70.46,69.81,71.65,73.7,75.78,79.97,78.05,79.89,81.43,82.85,85.94,87.49,87.2,87.09,86.6,87.27,89.43,89.96,92.06,92.68,92.78,93.75,92.89,93.43,94.3
Col_10,54.25,59.71,59.96,67.45,76.1,79.03,82.71,83.09,84.31,84.41,84.96,86.93,85.86,87.97,90.16,90.1,92.53,94.79,94.54,99.01,98.16,99.93,98.74,96.15,98.12
Col_11,40.28,41.79,43.34,44.96,45.77,47.86,47.75,49.69,52.67,55.17,55.24,59.35,61.52,62.58,63.55,66.25,69.94,75.27,78.91,79.47,79.63,79.88,78.46,78.22,76.94
Col_12,50.85,52.27,53.38,56.78,59.53,63.85,62.6,66.43,75.06,74.26,74.18,79.59,73.0,72.95,71.33,73.07,77.24,82.84,81.64,80.18,78.89,77.51,77.71,75.9,75.62
Col_13,88.63,86.17,88.48,93.24,93.73,95.1,98.45,97.11,98.86,99.87,99.77,99.93,100.0,100.0,99.12,99.64,100.0,99.88,99.23,98.17,98.89,98.74,98.56,98.81,94.18
Col_14,90.87,90.87,96.14,98.97,95.81,95.17,91.4,91.88,94.0,95.26,94.66,97.96,98.81,97.64,91.18,94.57,96.8,99.9,99.83,99.94,99.89,99.83,99.73,99.19,99.17
Col_15,74.04,77.41,77.99,79.44,80.99,82.46,81.57,79.97,82.99,86.58,85.78,89.07,90.13,92.22,90.36,90.55,94.6,99.48,99.59,98.76,99.08,98.73,99.05,99.35,98.12
Col_16,83.62,86.31,85.17,87.8,91.22,92.86,93.64,94.88,95.4,95.53,96.07,97.29,97.43,98.01,97.72,97.29,96.59,96.5,96.55,97.01,97.7,97.02,96.06,96.14,97.87
Col_17,44.47,43.23,43.03,45.49,43.94,46.35,49.92,51.06,50.87,54.44,55.15,61.35,64.78,65.04,63.93,59.15,64.33,64.3,70.98,69.97,69.04,71.52,72.84,71.59,73.26
Col_18,0.36,0.63,1.23,0.35,1.01,1.22,3.16,5.04,3.72,5.09,5.44,5.18,4.13,4.53,2.01,1.96,2.31,2.87,2.7,2.55,2.38,2.35,3.0,3.06,3.21
