,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,3.47,3.32,4.63,4.53,4.6,5.44,6.66,7.26,7.9,8.56,8.96,9.84,10.6,12.53,12.14,13.24,13.6,14.03,13.51,14.95,15.61,16.35,16.97,17.6,18.43
Col_4,29.65,26.46,25.85,18.12,17.21,17.45,15.06,15.97,16.62,24.64,27.63,40.43,38.85,28.31,37.64,44.07,48.19,57.52,68.82,63.33,61.07,57.66,51.81,51.48,59.62
Col_5,11.54,11.71,12.69,12.86,13.1,14.42,13.89,15.28,15.6,15.94,17.26,19.5,21.78,22.76,22.41,23.93,26.01,26.88,28.88,30.18,30.13,30.46,29.53,30.01,29.79
Col_6,47.32,48.04,49.51,50.82,52.91,53.18,53.95,53.64,53.46,52.0,50.81,53.62,54.33,56.77,56.71,58.67,61.99,62.95,63.84,64.68,64.37,65.17,65.26,64.49,65.77
Col_7,33.71,32.09,33.98,32.98,33.29,36.31,35.04,36.87,37.68,37.63,37.21,39.77,40.03,40.28,42.47,45.16,46.43,49.11,51.7,50.9,51.1,51.5,50.13,48.67,49.42
Col_8,33.94,25.0,23.36,22.52,19.74,18.73,15.58,18.76,21.32,20.24,21.14,25.98,23.76,24.15,32.5,33.6,36.24,41.47,51.23,45.84,53.75,50.62,51.9,48.12,48.13
Col_9,29.04,28.39,31.01,31.01,32.95,38.89,35.61,37.92,40.96,43.88,48.63,50.94,52.57,52.55,49.97,53.44,56.58,56.59,59.93,61.19,61.91,64.24,61.46,62.44,65.49
Col_10,13.76,17.6,17.88,21.35,26.15,31.56,32.79,33.84,32.66,30.74,31.44,35.34,36.47,38.26,44.77,45.28,58.29,64.97,64.09,84.2,80.77,99.36,88.59,77.12,82.52
Col_11,23.21,23.12,23.83,24.47,24.73,26.32,26.22,27.98,31.68,34.5,34.94,39.31,41.89,42.7,43.77,46.92,51.67,58.8,62.46,63.06,62.92,61.87,59.92,59.21,56.94
Col_12,19.99,22.32,22.45,25.52,28.37,31.6,30.72,36.15,47.72,45.35,45.71,51.65,43.34,43.55,44.67,45.19,51.32,59.82,59.67,58.46,55.79,54.31,53.87,51.5,50.85
Col_13,55.58,50.77,53.28,62.37,64.39,68.04,78.78,74.93,80.9,92.11,90.47,93.53,96.38,98.32,86.81,89.39,100.25,103.61,111.53,115.37,118.35,113.52,108.9,105.33,119.93
Col_14,70.01,68.97,82.64,92.96,80.21,80.57,72.03,70.54,74.98,75.06,72.83,83.28,87.96,83.27,70.03,78.86,83.15,94.62,93.2,95.87,93.52,92.16,90.73,87.66,85.94
Col_15,28.61,33.08,32.45,34.02,37.6,40.18,39.99,40.21,49.99,54.78,50.92,58.96,62.97,67.76,61.65,62.98,75.64,96.44,98.32,93.67,94.09,90.51,90.78,91.12,85.51
Col_16,57.34,62.75,59.49,62.31,67.31,71.18,72.76,76.85,79.04,78.23,79.79,84.13,84.79,85.87,85.1,83.63,84.99,88.66,87.98,86.95,88.86,87.47,85.05,85.56,91.08
Col_17,18.03,16.76,16.29,17.12,14.86,16.45,20.13,20.52,21.9,23.77,24.01,27.2,30.25,30.8,31.64,27.01,33.09,35.2,41.98,39.89,38.02,39.63,40.62,39.81,40.46
Col_18,0.03,0.05,0.03,0.04,0.66,0.53,1.55,2.52,1.06,0.63,0.97,1.71,0.74,0.05,0.3,0.59,0.67,0.19,0.94,1.15,0.79,1.76,1.94,1.97,1.07
