,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,22.2,22.25,24.68,26.48,24.52,25.85,27.31,26.94,26.36,26.35,26.85,27.63,31.36,33.13,30.25,32.54,34.01,33.16,33.28,32.54,33.56,34.37,34.32,35.0,34.11
Col_4,71.54,72.19,73.13,64.63,71.31,79.19,76.81,77.15,79.64,82.54,85.71,88.51,86.36,89.06,86.74,89.92,92.23,94.65,96.15,95.02,93.75,91.61,91.63,91.73,92.47
Col_5,20.7,20.78,22.05,24.15,25.56,25.85,25.93,26.25,26.49,26.91,27.18,29.61,30.88,31.35,31.53,32.78,34.38,33.45,34.42,34.67,35.2,35.89,35.99,36.62,36.91
Col_6,28.42,29.68,32.02,35.26,37.19,39.5,40.86,41.1,41.26,41.47,41.22,45.26,46.83,50.12,51.51,54.08,55.04,53.83,55.47,56.92,57.37,57.81,58.34,57.83,60.25
Col_7,17.69,18.76,19.95,20.91,22.17,23.74,24.38,25.43,25.15,26.12,25.95,27.21,28.14,28.78,30.54,30.95,30.75,30.12,31.86,32.4,32.13,33.32,33.01,32.05,32.86
Col_8,37.43,34.34,31.07,33.89,32.57,33.92,33.39,37.63,34.39,30.27,31.49,29.0,31.37,30.61,37.75,33.56,37.25,34.14,38.18,41.81,42.01,40.52,41.6,40.85,46.47
Col_9,55.01,55.89,56.62,59.16,61.02,63.47,63.61,64.9,65.03,65.35,67.51,69.22,69.52,70.45,71.87,72.4,72.9,72.53,73.85,75.96,77.48,79.6,77.97,79.6,81.3
Col_10,43.41,48.07,48.65,51.89,60.29,61.01,63.11,67.29,68.93,69.6,69.37,73.54,71.62,73.52,77.48,78.14,82.89,84.99,83.75,92.96,91.47,99.71,94.75,90.06,91.85
Col_11,22.72,24.79,26.14,27.65,28.41,29.8,29.8,30.79,31.59,32.47,32.14,34.28,35.11,36.38,36.74,39.14,40.82,44.0,47.58,49.0,49.08,49.37,48.57,49.14,48.6
Col_12,38.13,38.4,39.64,41.72,43.56,47.08,46.14,47.83,52.32,53.02,52.54,57.7,52.84,52.9,49.73,52.16,53.2,55.62,57.11,56.61,56.32,54.37,55.53,54.34,54.29
Col_13,71.34,69.55,71.83,80.32,81.35,83.48,88.79,86.26,88.75,95.63,94.62,96.14,97.89,99.11,94.32,95.17,100.13,101.88,105.74,107.32,108.47,106.99,105.03,103.02,111.12
Col_14,76.68,77.37,86.86,94.38,84.6,85.83,80.21,79.09,81.99,82.49,81.12,87.15,90.27,86.56,76.16,82.54,84.68,94.03,92.33,95.44,93.0,92.47,91.41,90.09,89.4
Col_15,67.26,71.19,71.64,73.01,73.53,74.69,73.98,70.81,74.11,77.22,74.35,77.98,80.17,83.61,81.33,80.97,85.98,97.44,98.81,95.71,96.27,94.07,94.74,95.07,92.69
Col_16,67.79,67.91,67.56,72.13,78.21,79.99,79.94,81.21,82.2,83.47,85.28,88.24,89.3,90.37,90.08,89.37,86.38,87.38,87.92,88.28,90.46,90.0,88.04,87.64,91.75
Col_17,20.1,20.39,21.07,22.87,23.66,25.1,27.62,29.02,30.24,31.74,30.61,34.48,36.25,36.01,37.47,35.52,38.37,35.81,39.6,39.27,38.79,41.12,41.47,40.25,41.63
Col_18,0.34,0.61,1.23,0.33,0.39,0.74,1.79,2.79,2.8,4.68,4.66,3.71,3.55,4.64,1.79,1.44,1.71,2.77,1.85,1.44,1.62,0.61,1.09,1.1,2.19
Col_19,3.56,2.2,2.32,2.89,3.0,3.36,2.66,3.24,3.9,7.29,7.82,9.2,9.79,11.41,7.03,8.86,12.23,12.07,12.39,12.67,11.0,9.95,11.93,13.47,10.59
Col_20,1.03,0.95,0.64,0.4,0.46,0.23,0.28,0.37,0.46,0.4,0.26,0.34,0.39,0.48,0.39,0.31,0.42,0.49,0.64,0.6,0.57,0.73,0.68,0.64,1.19
Col_21,0.81,0.72,0.59,0.52,0.67,0.62,0.54,0.47,0.47,0.6,0.59,0.73,0.72,0.62,0.57,0.72,0.63,0.72,0.55,0.78,0.77,1.02,1.24,1.4,1.59
Col_22,9.1,8.21,8.38,8.4,8.5,9.05,8.83,8.55,8.07,7.6,7.69,9.53,9.47,9.69,9.32,8.8,8.93,10.05,12.13,14.31,13.6,12.71,13.79,14.1,14.11
Col_23,2.93,3.23,3.18,3.47,3.51,3.83,3.58,3.36,3.3,3.35,3.69,4.04,4.23,4.21,3.83,4.04,4.1,3.62,3.84,3.87,4.01,3.66,3.71,3.84,4.0
Col_24,16.96,16.27,17.02,18.7,19.1,19.13,20.31,19.31,19.69,20.54,18.84,20.16,20.49,20.64,20.89,19.92,20.21,21.49,20.44,22.12,22.85,23.74,20.62,21.64,21.46
Col_25,4.64,3.66,3.84,3.38,2.55,3.1,2.71,3.06,3.27,3.85,3.91,5.57,6.86,6.85,5.69,5.79,6.5,6.61,6.93,8.48,10.23,7.03,6.51,6.15,5.1
Col_26,7.89,6.34,6.29,7.54,9.76,8.72,7.96,8.56,8.11,6.63,7.18,8.93,9.19,9.97,10.2,9.89,11.58,10.06,11.39,13.8,13.75,14.66,13.57,14.8,14.39
Col_27,8.37,7.42,6.41,4.64,4.19,4.57,2.53,3.64,3.89,4.32,4.82,4.34,4.87,4.95,4.71,5.74,5.04,5.1,4.75,5.2,5.36,5.24,5.16,5.23,6.07
Col_28,0.12,0.13,0.14,0.12,0.13,0.14,0.1,0.07,0.06,0.06,0.05,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.05,0.08,0.05,0.05,0.05,0.05
Col_29,4.85,3.96,4.51,5.06,3.6,3.22,2.55,2.56,2.53,2.63,2.72,3.52,3.26,3.91,4.64,3.75,3.49,3.66,3.74,4.8,5.82,5.18,5.72,5.47,5.17
Col_30,4.86,3.87,2.77,2.97,2.56,3.23,2.37,2.53,3.58,2.75,3.68,2.6,2.86,2.98,2.11,2.56,2.51,2.16,3.98,5.7,5.74,7.07,6.16,7.53,5.83
Col_31,7.75,6.17,7.66,10.06,7.51,6.74,4.92,5.36,5.05,4.43,4.35,6.12,5.51,6.37,7.02,9.31,9.54,9.91,11.65,14.12,14.81,16.31,16.82,16.22,15.35
Col_32,9.08,7.31,8.32,9.01,8.34,7.36,7.78,9.02,8.09,7.63,8.01,8.14,9.41,9.79,11.27,11.71,9.76,9.27,9.87,13.82,13.34,15.36,14.36,13.48,15.53
Col_33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col_34,0.06,0.06,0.05,0.06,0.05,0.05,0.04,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.56,0.21,0.24,0.23,0.22,0.22,0.21
Col_35,0.07,0.07,0.07,0.06,0.07,0.07,0.05,0.03,0.03,0.03,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.61,0.22,0.25,0.24,0.22,0.23,0.27
Col_36,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.03,0.03,0.03,0.02,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
