,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,222.2,224.5,289.8,290.2,299.8,360,450.7,488,523.2,592.6,594.2,664.6,736.3,904.2,830,940.5,992.6,1041.8,1028.7,1146.1,1225.8,1293.7,1418.6,1518.4,1654.4
Col_4,257.7,214.4,240.3,172.6,166.2,183.2,173.4,165.9,160.8,266.3,325.3,549.7,584.1,372.2,440.6,571.1,610.9,706.8,770.5,695.3,675.8,642.1,654.6,699.4,789.5
Col_5,1201.4,1306.5,1413.6,1480.4,1545.4,1761.4,1799.6,1981.6,2021.5,2146.7,2341,2723.1,3206.5,3611.1,3345.7,3619.7,4077.3,4302.5,4744,4966.9,5022.9,5132.1,5184.4,5371.1,5442.3
Col_6,5170.8,5428.9,5864.1,6038.2,6074.8,6275.2,6446.2,6237.5,5903.3,5573.3,5006,5266,5387,5139,4533.4,5013.7,5526.2,5561.8,5977.7,6419.3,6632.9,6984.5,7170.8,7158.4,7028.4
Col_7,1865.2,1718.1,1954.9,2062.9,2130.7,2654.4,2527.6,2575.4,2628.1,2627.2,2632,2930.7,3090.4,2999.8,2652.9,3202.7,3389.8,3476.2,3630.7,3685.7,3920.4,3916.4,4019.5,4279.3,4314
Col_8,552.1,430.6,472.2,359.5,393.9,620.4,492,531.2,648.3,763.6,1130.8,1697.2,1505.9,1907.5,1506.6,2244.5,2875.3,3614.1,4603.8,3712.5,3647.8,2836.4,3587.8,3619.6,3423.5
Col_9,743,714.4,884.3,856.9,881.8,1174.5,1039.5,1127.5,1285.1,1545.2,1804.8,2033.8,2267.1,2196.9,1590.7,2258.3,2728.4,2795.4,2975.7,2877.6,2819.7,2749.3,3027.6,3131,3341.3
Col_10,114.7,146.3,164.6,202.8,242.9,324.3,371.2,368.2,341.5,340.9,361,400.3,470.1,487.1,555.8,546.2,661,729.4,730,886,937.5,1102.8,1059.4,973.8,1153.9
Col_11,1101.8,1143.4,1306.4,1430.3,1520.5,1738.5,1791.5,1935.5,2137.5,2421,2522.4,2911.9,3316.8,3399.6,3049.1,3366.9,3772.5,3974.5,4151.9,4326.4,4580.4,4581.5,4827.9,5051.6,5023.3
Col_12,872.9,950.5,1080.2,1330.9,1515.2,1894,1881.6,2238.1,3031.2,3216.2,3318,4097.9,3839.6,4015.5,3207.8,3511,4258.7,4765.1,4520,4523.3,4348.1,4340.4,4893.2,5035,4898.9
Col_13,1041.3,988.1,1132.8,1368.6,1533.8,1789.1,2118.2,2030.1,2332.6,2603.4,2797.2,3200.8,3221.8,2862.4,1560.6,1743.3,1950,1832.9,1779.4,1830,1956.7,2266.8,2777,2945.5,3445.1
