,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,1765.1,1873.4,1956.9,2205.6,2017.5,2183.6,2375.2,2299.8,2183.4,2263.8,2215.9,2325.9,2838.7,3127.4,2604.2,2972,3248.8,3167.9,3285.9,3144.1,3347.7,3465.1,3626.7,3829,3789
Col_4,1536.7,1547.1,1876.3,1426.1,1987.5,3298.9,3239.3,2946.7,3154.4,3852.9,5112,6239.1,5818.7,7673.9,4775.5,6461.3,7799.3,9230.3,8721,7676.3,6457.9,5145.5,6665.5,7310,6567.5
Col_5,2404.8,2583.5,2750.5,3194.5,3521.7,3645,3904.3,3911.4,3942,4166.6,4187.6,4730.2,5144.7,5596.4,5334.3,5610.7,6078.3,5881.3,6130.6,6099,6326.8,6558.3,6958,7239.2,7506.2
Col_6,2286.4,2478.3,2816.8,3181.9,3200.8,3606.7,3800.6,3761.2,3608.9,3645.2,3398.1,3766.1,3988.1,3931.9,3676.5,4159.6,4148.1,3816.4,4218.3,4631,4941.4,5114,5345.7,5404.2,5545.8
Col_7,788.4,839.4,946.4,1108.3,1216.4,1449.2,1510.6,1503.9,1460.4,1539.4,1556.5,1659.4,1813.3,1797.3,1580.1,1743.6,1737.1,1552.8,1585.4,1703.8,1776.2,1843.2,1970.6,2129.1,2161.2
Col_8,642.9,675.6,698.5,634.1,773.6,1381.5,1337.1,1387.9,1254.4,1306.5,1939.2,1975.2,2208.1,2643.1,1897.1,2240.3,3003.3,2644.3,2707.4,3151.2,2274.5,1884.6,2368.1,2695.2,3202.7
Col_9,2219.9,2283.8,2567.6,2761.5,2810,3207.1,3286,3412.7,3444.7,3727,3960.5,4404.8,4665.6,4728.3,4069.7,5161.4,5631.3,5662.5,5620,5769,5967.3,5969.4,6719.7,7351.6,7657
Col_10,551.9,634.4,716.3,806.2,1041.7,1100.6,1301.5,1480.7,1561.8,1758.3,1782.9,2035.6,2066.5,2182.7,2358.9,2359.5,2292,2226.1,2108.6,2196.2,2391.3,2465.5,2464.2,2617.8,2752.3
Col_11,1071.7,1253,1478,1688,1836,2066.3,2139.8,2216.3,2128.5,2210.3,2224.3,2345.3,2489.5,2608,2275.3,2449.8,2433.8,2188.3,2264.5,2435.4,2601.6,2752.8,3049.2,3363.3,3591
Col_12,2153.2,2061.4,2450.3,2780.4,2952.4,3647.3,3634.5,3624.6,3643.7,4375.2,4361.7,5232.8,5623,5845.3,3930.2,4643.1,4591.3,4012.4,4068.2,4192.8,4441.9,4350.5,5231.8,5644.4,5623.9
Col_13,2071.7,2188.4,2532.7,3370,3700.9,4248.3,4519.4,4264.5,4342.5,4881.5,5184.5,5507.8,5604.8,5440.3,3938,4074.6,3662.7,3457,3385,3574.7,3886.1,4134.6,4742,5083.3,5718.8
Col_14,1258.6,1410.7,1643,1835.7,1854.3,2095.4,2034,1982.4,1916.9,2018.9,1974.3,2109.2,2271.2,2434.5,2172.7,2410.3,2309.8,2022.6,2060.3,2148.2,2247.4,2461.9,2789.5,3091.2,3243.1
Col_15,1890,2232.7,2597.7,2967.9,3179.4,3575.6,3484.2,3097.4,2907.5,3293.2,3281.7,3533.7,4122.3,4674.5,3740.7,3485.1,3176.1,2799.3,3001.9,3384.9,3537,3740.9,4333.8,4761.2,4801.3
Col_16,3922.9,4682.2,5503.1,6586,7698.7,8018.4,7754.3,7182.3,6652.6,7260.5,7339.4,7986.2,8569.8,8575.3,6819.3,8705.8,6987.8,5209.8,5628.5,6787,8223.5,8924.8,10115.3,11200.6,11850
Col_17,659.6,760.7,855.2,1012,1130.6,1255.9,1351.7,1442.6,1430,1553.1,1510.6,1802.8,1987.1,2087.3,2012.4,2031.3,1968.1,1608.1,1673.8,1799.2,1979.6,2161.7,2404.4,2507.5,2747.7
Col_18,15.1,27,55.7,16,20.9,43.6,114.2,187.1,204,374.2,437.1,356.3,412.9,643.4,216.4,177.6,228.3,397.7,259.1,200.3,238.4,90.2,169.5,176.8,344.9
Col_19,41.4,28,31.9,44.3,52.1,63.2,53.7,70.3,95.1,195.2,224,289,343.9,441.5,253.7,337.3,494,465.9,490.3,505.6,445.9,397.8,520.5,616.2,490.5
