,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Col_3,6847.59,7198.9,6751.11,6832.91,6978.79,7093.7,7308.38,7169.71,7177.79,7434.19,7153.66,7291.01,7511.24,7799.19,7328.78,7582.7,7743.22,7892.78,8082.26,8151.05,8407.55,8464.06,8951.77,9239.27,9670.72
Col_4,910.94,859.1,982.19,1012.77,1030.33,1119.5,1193.54,1118.04,1049.22,1163.81,1289.69,1468.89,1558.63,1387.14,1238.76,1360.19,1334.89,1276.97,1162.38,1113.08,1116.42,1121.12,1245.55,1356.56,1326.01
Col_5,10031.24,10748.17,10753.41,11135.14,11418.83,11846.41,12574.69,12524.19,12527.63,12975.57,13071.3,13469.95,14393.63,15578.66,14741.21,14811.45,15364.13,15549.02,15906.57,15959.78,16150.93,16471.81,17302.91,17653.6,18026.28
Col_6,10628.82,10987.72,11545.8,11644.88,11320.01,11635.3,11827.12,11523.3,11007.41,10654.22,9751.27,9771.39,9879.67,9155.17,8101.25,8682.22,9013.5,8922.39,9497.89,10055.9,10505.81,10872.09,11170.69,11271.35,10883.32
Col_7,5614.63,5447.41,5851.89,6371.3,6511.54,7423.9,7342.03,7126.55,7125.46,7136.75,7239.76,7549.37,7943.55,7650.86,6469.07,7337.88,7585.54,7457.43,7419.04,7626.77,8098.4,8032.36,8481.95,9339.71,9298.51
Col_8,1783.91,1874.33,2191.4,1777.1,2188.51,3511.26,3359.0,3052.48,3272.6,4023.12,5623.34,6814.8,6622.34,8153.56,4841.13,6861.79,8206.3,9051.29,9397.53,8386.71,7072.78,5762.05,7138.11,7792.16,7328.85
Col_9,2402.02,2423.87,2735.58,2625.53,2539.32,2838.52,2801.09,2837.32,2964.42,3311.34,3456.4,3715.75,4122.33,4053.09,3120.87,4210.9,4657.67,4677.58,4603.95,4413.25,4356.48,4125.88,4703.46,4824.02,4961.79
Col_10,759.75,773.09,865.23,817.97,791.29,874.61,908.78,939.01,879.94,919.67,938.15,978.44,1130.33,1092.45,1125.16,1114.65,1149.54,1120.32,1121.03,1041.64,1175.93,1148.86,1265.39,1373.51,1440.43
Col_11,4798.33,4998.57,5542.54,5908.11,6203.89,6675.75,6913.0,6996.52,6840.95,7111.61,7317.35,7525.94,8042.28,8115.6,7087.69,7378.08,7498.64,6957.43,6811.96,7066.36,7471.48,7512.5,8191.69,8693.67,8974.46
Col_12,4323.81,4244.01,4787.66,5189.61,5345.84,5986.87,6136.96,6228.7,6353.3,7102.66,7266.7,7927.13,8913.22,9314.8,7312.25,7889.1,8293.63,7861.74,7736.45,8018.29,8084.42,8259.59,9419.2,10179.06,10024.42
Col_13,1803.7,1884.99,2027.58,2143.31,2349.28,2588.89,2562.39,2639.69,2714.15,2737.37,2991.16,3317.97,3206.26,2837.4,1819.39,1914.75,1939.55,1749.54,1582.93,1527.79,1695.24,1959.07,2389.81,2566.91,2589.07
Col_14,1354.52,1413.14,1525.3,1626.78,1778.15,1923.98,1969.87,1888.31,1768.45,1741.26,1703.87,1850.81,2035.46,2270.82,2376.58,2552.46,2538.54,2329.21,2440.95,2445.72,2521.15,2460.48,2711.68,2684.38,2625.92
