industries_id,Import2019,Export2019
,2019,2019
Col_10,2752.3,1153.9
Col_11,3591,5023.3
Col_12,5623.9,4898.9
Col_13,5718.8,3445.1
Col_14,3243.1,2349
Col_15,4801.3,2234.3
Col_16,11850,10872.5
Col_17,2747.7,2617.7
Col_18,344.9,166.1
Col_19,490.5,455.6
Col_20,278.1,769.5
Col_21,610.4,386.7
Col_22,2525.6,7855.5
Col_23,837.1,705.9
Col_24,637.9,237.5
Col_25,268.6,341.6
Col_26,806.4,1779.9
Col_27,899.3,652.6
Col_28,13,4.9
Col_29,627.2,1168.4
Col_3,3789,1654.4
Col_30,187,228.2
Col_31,851.4,993.1
Col_32,2357.7,1562.3
Col_33,0.1,48.7
Col_34,23,34.9
Col_35,41.8,52.8
Col_36,0.5,0.5
Col_37,101.2,121.3
Col_38,1.1,13.2
Col_4,6567.5,789.5
Col_5,7506.2,5442.3
Col_6,5545.8,7028.4
Col_7,2161.2,4314
Col_8,3202.7,3423.5
Col_9,7657,3341.3
