industries_id,Import_Ratio2019,Export_Ratio2019
,2019,2019
Col_10,91.85,82.52
Col_11,48.6,56.94
Col_12,54.29,50.85
Col_13,111.12,119.93
Col_14,89.4,85.94
Col_15,92.69,85.51
Col_16,91.75,91.08
Col_17,41.63,40.46
Col_18,2.19,1.07
Col_19,10.59,9.91
Col_20,1.19,3.22
Col_21,1.59,1.01
Col_22,14.11,33.82
Col_23,4,3.4
Col_24,21.46,9.23
Col_25,5.1,6.4
Col_26,14.39,27.05
Col_27,6.07,4.48
Col_28,0.05,0.02
Col_29,5.17,9.23
Col_3,34.11,18.43
Col_30,5.83,7.02
Col_31,15.35,17.46
Col_32,15.53,10.86
Col_33,0,0.33
Col_34,0.21,0.31
Col_35,0.27,0.33
Col_36,0.01,0.01
Col_37,2.74,3.27
Col_38,0.02,0.28
Col_4,92.47,59.62
Col_5,36.91,29.79
Col_6,60.25,65.77
Col_7,32.86,49.42
Col_8,46.47,48.13
Col_9,81.3,65.49
