industries_id,Production_Ratio2019,Investment_Ratio2019
,2019,2019
Col_10,0.43,51.2
Col_11,0.34,25.4
Col_12,0.31,22.1
Col_13,0.19,57
Col_14,0.26,34.5
Col_15,0.34,31.6
Col_16,0.16,40.3
Col_17,0.41,18.7
Col_18,0.28,30.7
Col_19,0.4,45.6
Col_20,0.35,12.4
Col_21,0.58,12.7
Col_22,0.39,23.2
Col_23,0.55,16.2
Col_24,0.42,45.7
Col_25,0.45,37.9
Col_26,0.56,31.7
Col_27,0.59,3.5
Col_28,0.86,37.4
Col_29,0.51,15.3
Col_3,0.46,26.3
Col_30,0.68,75.1
Col_31,0.41,20.1
Col_32,0.62,21.2
Col_33,0.76,15.6
Col_34,0.85,11.8
Col_35,0.57,14.6
Col_36,0.68,10.5
Col_37,0.46,37.1
Col_38,0.58,13.1
Col_4,0.44,59.6
Col_5,0.24,22.4
Col_6,0.38,11.1
Col_7,0.28,23.3
Col_8,0.06,40.6
Col_9,0.17,32.8
